instrument,innovation,forecast_date,origin_index,error_type,error
BTC-USD,student_t,2023-01-08,536,GarchFitError,"fit violated GARCH constraints: omega=0.2730607360439793, alpha=0.08839798183736228, beta=0.9116020181626378"
BTC-USD,student_t,2023-01-09,537,GarchFitError,"fit violated GARCH constraints: omega=0.2880145644315095, alpha=0.08935936532492185, beta=0.9106406346750783"
BTC-USD,student_t,2023-01-10,538,GarchFitError,"fit violated GARCH constraints: omega=0.31257777381896185, alpha=0.09144828144251813, beta=0.9085517185574818"
BTC-USD,student_t,2023-01-11,539,GarchFitError,"fit violated GARCH constraints: omega=0.2949789921156311, alpha=0.08969258597825124, beta=0.9103074140217489"
BTC-USD,student_t,2023-05-23,671,GarchFitError,"fit violated GARCH constraints: omega=1.2826245372114935, alpha=0.18347769425939744, beta=0.8165223057406027"
BTC-USD,student_t,2023-05-24,672,GarchFitError,"fit violated GARCH constraints: omega=1.2183391739315261, alpha=0.18180189552800982, beta=0.8181981044719902"
BTC-USD,student_t,2023-05-28,676,GarchFitError,"fit violated GARCH constraints: omega=1.1501919002893055, alpha=0.17746967132928881, beta=0.8225303286707112"
BTC-USD,student_t,2023-05-29,677,GarchFitError,"fit violated GARCH constraints: omega=1.377516167640438, alpha=0.18467295702308056, beta=0.8153270429769195"
BTC-USD,student_t,2023-05-30,678,GarchFitError,"fit violated GARCH constraints: omega=1.322671062414548, alpha=0.1802888027228404, beta=0.8197111972771596"
BTC-USD,student_t,2023-05-31,679,GarchFitError,"fit violated GARCH constraints: omega=1.1797884944258286, alpha=0.17315767318017716, beta=0.8268423268198228"
BTC-USD,student_t,2023-06-07,686,GarchFitError,"fit violated GARCH constraints: omega=1.15478174114493, alpha=0.1808602518589643, beta=0.8191397481410357"
BTC-USD,student_t,2023-06-08,687,GarchFitError,"fit violated GARCH constraints: omega=1.282007099917255, alpha=0.18806156059202755, beta=0.8119384394079725"
BTC-USD,student_t,2023-06-09,688,GarchFitError,"fit violated GARCH constraints: omega=1.2643597529403998, alpha=0.18308651124720235, beta=0.8169134887527978"
BTC-USD,student_t,2023-06-10,689,GarchFitError,"fit violated GARCH constraints: omega=1.2300279224663135, alpha=0.1788129742097497, beta=0.8211870257902503"
BTC-USD,student_t,2023-06-12,691,GarchFitError,"fit violated GARCH constraints: omega=1.1280414018096172, alpha=0.17583775212996933, beta=0.8241622478700307"
BTC-USD,student_t,2023-06-14,693,GarchFitError,"fit violated GARCH constraints: omega=1.0842157798108032, alpha=0.17364574778558695, beta=0.8263542522144132"
BTC-USD,student_t,2023-08-01,741,GarchFitError,"fit violated GARCH constraints: omega=0.9326099202594769, alpha=0.20568033989976064, beta=0.7943196601002395"
BTC-USD,student_t,2023-08-02,742,GarchFitError,"fit violated GARCH constraints: omega=0.9238477109152808, alpha=0.20585332373494136, beta=0.7941466762650586"
BTC-USD,student_t,2023-08-03,743,GarchFitError,"fit violated GARCH constraints: omega=0.9684358378807603, alpha=0.20682247373424592, beta=0.7931775262657541"
BTC-USD,student_t,2023-08-04,744,GarchFitError,"fit violated GARCH constraints: omega=0.8720642557894649, alpha=0.20275929564106807, beta=0.7972407043589319"
BTC-USD,student_t,2023-08-05,745,GarchFitError,"fit violated GARCH constraints: omega=0.8634572218583005, alpha=0.19921878714137436, beta=0.8007812128586257"
BTC-USD,student_t,2023-08-06,746,GarchFitError,"fit violated GARCH constraints: omega=0.8054513871930186, alpha=0.19527115614827864, beta=0.8047288438517214"
BTC-USD,student_t,2023-08-07,747,GarchFitError,"fit violated GARCH constraints: omega=0.790050985786024, alpha=0.19222910059282153, beta=0.8077708994071786"
BTC-USD,student_t,2023-08-08,748,GarchFitError,"fit violated GARCH constraints: omega=0.7317705154271297, alpha=0.1892713467451439, beta=0.8107286532548562"
BTC-USD,student_t,2023-08-09,749,GarchFitError,"fit violated GARCH constraints: omega=0.7554494038233853, alpha=0.1939388452121498, beta=0.8060611547878502"
BTC-USD,student_t,2023-08-10,750,GarchFitError,"fit violated GARCH constraints: omega=0.8489200440955998, alpha=0.2045501160008001, beta=0.7954498839992"
BTC-USD,student_t,2023-08-11,751,GarchFitError,"fit violated GARCH constraints: omega=0.7673786340365388, alpha=0.19783590567308046, beta=0.8021640943269195"
BTC-USD,student_t,2023-08-12,752,GarchFitError,"fit violated GARCH constraints: omega=0.683269626767126, alpha=0.1909120389414928, beta=0.8090879610585072"
BTC-USD,student_t,2023-08-13,753,GarchFitError,"fit violated GARCH constraints: omega=0.6014011120688981, alpha=0.18407510719913509, beta=0.8159248928008651"
BTC-USD,student_t,2023-08-14,754,GarchFitError,"fit violated GARCH constraints: omega=0.586227687773467, alpha=0.1811494867810738, beta=0.8188505132189262"
