provisional,model_key,model_label,instrument,confidence,confidence_label,forecast_count,valid_forecasts,fit_success_count,fit_failure_count,fit_success_rate,mean_var_percent,mean_es_percent,expected_exceedances_full_oos,expected_exceedances_valid,observed_exceedances,observed_exceedance_rate,kupiec_p_value,kupiec_reject_at_5pct,christoffersen_independence_p_value,christoffersen_independence_reject_at_5pct,christoffersen_conditional_coverage_p_value,christoffersen_conditional_coverage_reject_at_5pct,quantile_loss,fz0
true,garch11_student_t,"GARCH(1,1) Student-t",BTC-USD,0.950000,95%,1325,1068,1068,257,0.806038,3.789402,6.145857,66.250000,53.400000,43,0.040262,0.131244,false,0.836211,false,0.313413,false,0.276732,1.702990
true,garch11_student_t,"GARCH(1,1) Student-t",BTC-USD,0.990000,99%,1325,1068,1068,257,0.806038,7.192830,10.940185,13.250000,10.680000,8,0.007491,0.388419,false,0.728093,false,0.648964,false,0.087216,2.164286
true,garch11_student_t,"GARCH(1,1) Student-t",ETH-USD,0.950000,95%,1325,1119,1119,206,0.844528,5.199594,8.202250,66.250000,55.950000,54,0.048257,0.787958,false,0.802985,false,0.934922,false,0.374051,1.988305
true,garch11_student_t,"GARCH(1,1) Student-t",ETH-USD,0.990000,99%,1325,1119,1119,206,0.844528,9.603975,14.165974,13.250000,11.190000,8,0.007149,0.312540,false,0.734171,false,0.566876,false,0.114344,2.418805
true,garch11_normal,"GARCH(1,1) normal",BTC-USD,0.950000,95%,1325,1325,1325,0,1.000000,4.104461,5.165861,66.250000,66.250000,52,0.039245,0.062387,false,0.065089,false,0.032137,true,0.279820,1.707481
true,garch11_normal,"GARCH(1,1) normal",BTC-USD,0.990000,99%,1325,1325,1325,0,1.000000,5.835518,6.696269,13.250000,13.250000,26,0.019623,0.001865,true,0.307433,false,0.004703,true,0.084022,2.146014
true,garch11_normal,"GARCH(1,1) normal",ETH-USD,0.950000,95%,1325,1316,1316,9,0.993208,5.493972,6.891451,66.250000,65.800000,59,0.044833,0.381707,false,0.060264,false,0.116758,false,0.380015,2.030392
true,garch11_normal,"GARCH(1,1) normal",ETH-USD,0.990000,99%,1325,1316,1316,9,0.993208,7.773146,8.906443,13.250000,13.160000,25,0.018997,0.003527,true,0.497118,false,0.011256,true,0.117011,2.516160
true,fallback_not_ms_garch,fallback_not_ms_garch,BTC-USD,0.950000,95%,1325,1325,1325,0,1.000000,4.236472,6.134059,66.250000,66.250000,48,0.036226,0.015766,true,0.123891,false,0.016604,true,0.278915,1.710691
true,fallback_not_ms_garch,fallback_not_ms_garch,BTC-USD,0.990000,99%,1325,1325,1325,0,1.000000,7.345057,8.863710,13.250000,13.250000,8,0.006038,0.117668,false,0.755137,false,0.280081,false,0.086131,2.145741
true,fallback_not_ms_garch,fallback_not_ms_garch,ETH-USD,0.950000,95%,1325,1322,1322,3,0.997736,5.478805,8.063181,66.250000,66.100000,62,0.046899,0.601254,false,0.239041,false,0.436191,false,0.382213,2.031828
true,fallback_not_ms_garch,fallback_not_ms_garch,ETH-USD,0.990000,99%,1325,1322,1322,3,0.997736,9.765428,11.927185,13.250000,13.220000,11,0.008321,0.527409,false,0.667335,false,0.746725,false,0.118129,2.462008
